intervall;name;url;last-modified;pid
1;Wikipedia;https://en.wikipedia.org/wiki/Named-entity_recognition;Fri, 11 Aug 2017 21:45:55 GMT;commit_suicide
3;Fefe;https://blog.fefe.de/;Sat, 19 Aug 2017 21:28:19 GMT;26091
