load,nb_threads,time_in_ms
10,10,2.818074941635132
10,100,3.0680837631225586
10,1000,3.18268084526062
10,10000,28.67299795150757
100,10,18.985448598861694
100,100,3.0462164878845215
100,1000,3.22624135017395
100,10000,65.30405020713806
1000,10,165.33866548538208
1000,100,19.207918643951416
1000,1000,3.169105052947998
1000,10000,77.7833001613617
