a,n,digits
3,1,2
3,2,4
3,3,8
3,4,18
3,5,20
3,6,19
3,7,20
3,8,19
3,9,20
3,10,19
3,11,20
3,12,19
3,13,20
3,14,19
3,15,20
3,16,19
3,17,20
3,18,19
3,19,20
3,20,19
3,21,20
3,22,19
3,23,20
3,24,19
3,25,20
3,26,19
3,27,20
3,28,19
3,29,20
3,30,19
3,31,20
3,32,19
3,33,20
3,34,19
3,35,20
3,36,19
3,37,20
3,38,19
3,39,20
